"","genes","baseMean","log2FoldChange","lfcSE","pvalue","padj","ensembl_gene_id","entrezgene_id"
"46","Zbtb16",406.352926694573,-1.60764796991376,0.227380691336346,6.84832859379865e-14,1.98574135905786e-11,"ENSMUSG00000066687",235320
"47","Alas2",412.025528149048,-2.26874334242299,0.323071433032708,8.12401177527631e-14,2.30944946505796e-11,"ENSMUSG00000025270",11656
"48","Dcx",4524.74994385496,-1.1648350886617,0.165618116417371,1.03854155165564e-13,2.89553373382758e-11,"ENSMUSG00000031285",13193
"49","Atp1a1",2067.81150796499,-1.14490632769116,0.164954601082931,2.0491779150881e-13,5.60546819112212e-11,"ENSMUSG00000033161",11928
"50","Opalin",7011.8488059249,0.781956007358666,0.113040646912475,2.43446128569815e-13,6.53607772593551e-11,"ENSMUSG00000050121",226115
"51","Aspa",3088.63453188169,0.849172820964088,0.121794947324449,2.6672685673407e-13,7.03091994351008e-11,"ENSMUSG00000020774",11484
"52","Dynlt1b",1020.5491663052,-0.989266454344785,0.146053341905606,7.57124911286228e-13,1.96014231496924e-10,"ENSMUSG00000096255",21648
"53","Larp6",1647.25059786363,0.97485884524724,0.144331390222499,1.11093843054975e-12,2.77696299415695e-10,"ENSMUSG00000034839",67557
"54","Tubb4a",84700.5572107081,0.773929829844595,0.116574349509971,2.1620462007858e-12,5.22422430316542e-10,"ENSMUSG00000062591",22153
"55","Rab6b",3679.17254605302,-1.29804309251047,0.197096660544829,2.12608738889715e-12,5.22422430316542e-10,"ENSMUSG00000032549",270192
"56","Pou3f1",2324.93848204351,0.844174977065992,0.126877703105459,2.43855400420124e-12,5.79576327096878e-10,"ENSMUSG00000090125",18991
"57","Evi2a",2660.19949316575,0.998803577729803,0.152421023411183,4.36699107094659e-12,1.02117155720296e-09,"ENSMUSG00000078771",14017
"58","Nlk",878.441607701802,-1.04457544773276,0.161490335328136,5.60431932791476e-12,1.28970510501759e-09,"ENSMUSG00000017376",18099
